"Custid","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Z_CostContact","Z_Revenue","DepVar"
1438668971,1973,"2n Cycle","Married",39972,1,0,"2012-09-14",25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,1
1438668482,1988,"Graduation","Single",67961,0,0,"2013-10-20",68,879,175,367,207,31,47,1,8,5,11,4,0,1,1,1,0,0,3,11,1
1438663049,1970,"PhD","Together",32616,1,0,"2012-11-03",28,188,5,59,7,0,30,7,5,1,5,9,0,0,0,0,0,0,3,11,1
816151387,1970,"Graduation","Single",22585,0,0,"2013-03-18",23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,0,3,11,1
1022673959,1983,"Graduation","Single",101970,0,0,"2013-03-12",69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1
816155799,1953,"PhD","Married",47590,0,1,"2013-12-16",9,247,0,15,0,0,10,4,4,1,6,6,1,0,0,1,1,0,3,11,1
1230106233,1951,"PhD","Single",53442,1,1,"2013-02-08",69,402,0,30,0,0,17,7,7,3,5,6,0,1,0,0,0,0,3,11,1
202554140,1980,"Graduation","Together",47884,1,0,"2013-04-30",29,293,14,371,0,35,214,4,11,6,3,9,1,0,0,0,0,0,3,11,1
1230110727,1947,"PhD","Together",56286,0,1,"2012-11-10",60,627,7,63,10,7,42,3,10,2,8,8,0,0,0,0,0,0,3,11,1
1022673636,1969,"Graduation","Married",75759,0,0,"2013-10-25",46,1394,22,708,89,91,182,1,9,7,9,5,1,0,1,1,0,0,3,11,1
1438662550,1953,"Graduation","Married",36633,2,1,"2013-07-25",36,99,3,42,6,3,53,4,3,2,3,6,1,0,0,0,0,0,3,11,1
406108952,1974,"PhD","Together",54259,0,1,"2013-04-08",93,460,0,75,7,0,113,4,8,2,7,7,0,0,0,0,0,0,3,11,1
406114213,1980,"PhD","Single",76412,0,0,"2013-05-05",15,840,53,804,23,71,17,1,5,4,8,3,0,0,1,1,0,0,3,11,1
1230111125,1984,"Master","Married",42207,1,0,"2013-04-01",71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,3,11,1
610634307,1980,"PhD","Divorced",77400,0,0,"2014-02-28",16,693,23,404,0,23,57,1,3,9,5,1,0,0,0,0,0,0,3,11,1
816147944,1949,"PhD","Married",80360,0,0,"2013-03-03",56,1493,86,454,112,43,43,2,4,4,5,2,0,1,1,1,0,0,3,11,1
1230110857,1965,"Graduation","Widow",18373,0,0,"2013-01-18",41,5,11,13,12,5,23,1,2,1,2,9,1,0,0,0,0,0,3,11,1
202558782,1963,"Graduation","Single",48178,0,1,"2014-03-15",13,402,0,30,6,0,140,4,6,6,3,6,1,0,1,0,0,0,3,11,1
202556872,1981,"2n Cycle","Married",56337,1,1,"2013-03-27",25,349,16,144,28,5,182,5,8,5,4,8,1,0,0,1,0,0,3,11,1
